#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
🧑🏾‍💻	technologist: medium-dark skin tone	coder | computer | developer | inventor | medium-dark skin tone | software | technologist | technologist (skin tone) | technologist: medium-dark skin tone	IT-ekspert: hudtype 5	data | hudtype 5 | IT | IT-ekspert | IT-ekspert: hudtype 5 | koding | programvare | teknologi	de	IT-Experte/IT-Expertin: mitteldunkle Hautfarbe	Bildschirm | Computer | Entwickler(in) | IT-Experte/IT-Expertin | IT-Experte/IT-Expertin: mitteldunkle Hautfarbe | mitteldunkle Hautfarbe	it	persona esperta di tecnologia: carnagione abbastanza scura	carnagione abbastanza scura | inventore | persona esperta di tecnologia | persona esperta di tecnologia: carnagione abbastanza scura | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres) : peau mate	développeur | développeuse | informaticien | informaticien (tous genres) | informaticien (tous genres) : peau mate | informaticienne | logiciels | peau mate | technologie
🧑🏿‍💻	technologist: dark skin tone	coder | computer | dark skin tone | developer | inventor | software | technologist | technologist (skin tone) | technologist: dark skin tone	IT-ekspert: hudtype 6	data | hudtype 6 | IT | IT-ekspert | IT-ekspert: hudtype 6 | koding | programvare | teknologi	de	IT-Experte/IT-Expertin: dunkle Hautfarbe	Bildschirm | Computer | dunkle Hautfarbe | Entwickler(in) | IT-Experte/IT-Expertin | IT-Experte/IT-Expertin: dunkle Hautfarbe	it	persona esperta di tecnologia: carnagione scura	carnagione scura | inventore | persona esperta di tecnologia | persona esperta di tecnologia: carnagione scura | programmatore | software | sviluppatore | tecnologo	fr	informaticien (tous genres) : peau foncée	développeur | développeuse | informaticien | informaticien (tous genres) | informaticien (tous genres) : peau foncée | informaticienne | logiciels | peau foncée | technologie
🧑‍💼	office worker	architect | business | manager | office | office worker | white-collar | worker	kontorarbeider	kontor | kontorarbeider | leder | næringsliv	de	Büroangestellte(r)	Architekt(in) | Business | Büroangestellte(r) | Manager(in) | Schlips und Kragen	it	persona che fa un lavoro d’ufficio	architetto | business | impiegato | manager | persona che fa un lavoro d’ufficio	fr	employé de bureau (tous genres)	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employée de bureau
🧑🏻‍💼	office worker: light skin tone	architect | business | light skin tone | manager | office | office worker (skin tone) | office worker: light skin tone | white-collar | worker	kontorarbeider: hudtype 1–2	hudtype 1–2 | kontor | kontorarbeider | kontorarbeider: hudtype 1–2 | leder | næringsliv	de	Büroangestellte(r): helle Hautfarbe	Architekt(in) | Business | Büroangestellte(r) | Büroangestellte(r): helle Hautfarbe | helle Hautfarbe | Manager(in) | Schlips und Kragen	it	persona che fa un lavoro d’ufficio: carnagione chiara	architetto | business | carnagione chiara | impiegato | manager | persona che fa un lavoro d’ufficio | persona che fa un lavoro d’ufficio: carnagione chiara	fr	employé de bureau (tous genres) : peau claire	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employé de bureau (tous genres) : peau claire | employée de bureau | peau claire
🧑🏼‍💼	office worker: medium-light skin tone	architect | business | manager | medium-light skin tone | office | office worker (skin tone) | office worker: medium-light skin tone | white-collar | worker	kontorarbeider: hudtype 3	hudtype 3 | kontor | kontorarbeider | kontorarbeider: hudtype 3 | leder | næringsliv	de	Büroangestellte(r): mittelhelle Hautfarbe	Architekt(in) | Business | Büroangestellte(r) | Büroangestellte(r): mittelhelle Hautfarbe | Manager(in) | mittelhelle Hautfarbe | Schlips und Kragen	it	persona che fa un lavoro d’ufficio: carnagione abbastanza chiara	architetto | business | carnagione abbastanza chiara | impiegato | manager | persona che fa un lavoro d’ufficio | persona che fa un lavoro d’ufficio: carnagione abbastanza chiara	fr	employé de bureau (tous genres) : peau moyennement claire	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employé de bureau (tous genres) : peau moyennement claire | employée de bureau | peau moyennement claire
🧑🏽‍💼	office worker: medium skin tone	architect | business | manager | medium skin tone | office | office worker (skin tone) | office worker: medium skin tone | white-collar | worker	kontorarbeider: hudtype 4	hudtype 4 | kontor | kontorarbeider | kontorarbeider: hudtype 4 | leder | næringsliv	de	Büroangestellte(r): mittlere Hautfarbe	Architekt(in) | Business | Büroangestellte(r) | Büroangestellte(r): mittlere Hautfarbe | Manager(in) | mittlere Hautfarbe | Schlips und Kragen	it	persona che fa un lavoro d’ufficio: carnagione olivastra	architetto | business | carnagione olivastra | impiegato | manager | persona che fa un lavoro d’ufficio | persona che fa un lavoro d’ufficio: carnagione olivastra	fr	employé de bureau (tous genres) : peau légèrement mate	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employé de bureau (tous genres) : peau légèrement mate | employée de bureau | peau légèrement mate
🧑🏾‍💼	office worker: medium-dark skin tone	architect | business | manager | medium-dark skin tone | office | office worker (skin tone) | office worker: medium-dark skin tone | white-collar | worker	kontorarbeider: hudtype 5	hudtype 5 | kontor | kontorarbeider | kontorarbeider: hudtype 5 | leder | næringsliv	de	Büroangestellte(r): mitteldunkle Hautfarbe	Architekt(in) | Business | Büroangestellte(r) | Büroangestellte(r): mitteldunkle Hautfarbe | Manager(in) | mitteldunkle Hautfarbe | Schlips und Kragen	it	persona che fa un lavoro d’ufficio: carnagione abbastanza scura	architetto | business | carnagione abbastanza scura | impiegato | manager | persona che fa un lavoro d’ufficio | persona che fa un lavoro d’ufficio: carnagione abbastanza scura	fr	employé de bureau (tous genres) : peau mate	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employé de bureau (tous genres) : peau mate | employée de bureau | peau mate
🧑🏿‍💼	office worker: dark skin tone	architect | business | dark skin tone | manager | office | office worker (skin tone) | office worker: dark skin tone | white-collar | worker	kontorarbeider: hudtype 6	hudtype 6 | kontor | kontorarbeider | kontorarbeider: hudtype 6 | leder | næringsliv	de	Büroangestellte(r): dunkle Hautfarbe	Architekt(in) | Business | Büroangestellte(r) | Büroangestellte(r): dunkle Hautfarbe | dunkle Hautfarbe | Manager(in) | Schlips und Kragen	it	persona che fa un lavoro d’ufficio: carnagione scura	architetto | business | carnagione scura | impiegato | manager | persona che fa un lavoro d’ufficio | persona che fa un lavoro d’ufficio: carnagione scura	fr	employé de bureau (tous genres) : peau foncée	affaires | architecte | bureau | employé de bureau | employé de bureau (tous genres) | employé de bureau (tous genres) : peau foncée | employée de bureau | peau foncée
🧑‍🔧	mechanic	electrician | mechanic | plumber | tradesperson	mekaniker	elektriker | handverker | håndverker | mekaniker | rørlegger	de	Mechaniker(in)	Elektriker(in) | Klempner(in) | Mechaniker(in)	it	meccanico	elettricista | idraulico | meccanico | tecnico specializzato	fr	mécanicien (tous genres)	artisan | mécanicien | mécanicien (tous genres) | mécanicienne | plombier | électricien | électricienne
🧑🏻‍🔧	mechanic: light skin tone	electrician | light skin tone | mechanic | mechanic (skin tone) | mechanic: light skin tone | plumber | tradesperson	mekaniker: hudtype 1–2	elektriker | handverker | hudtype 1–2 | håndverker | mekaniker | mekaniker: hudtype 1–2 | rørlegger	de	Mechaniker(in): helle Hautfarbe	Elektriker(in) | helle Hautfarbe | Klempner(in) | Mechaniker(in) | Mechaniker(in): helle Hautfarbe	it	meccanico: carnagione chiara	carnagione chiara | elettricista | idraulico | meccanico | meccanico: carnagione chiara | tecnico specializzato	fr	mécanicien (tous genres) : peau claire	artisan | mécanicien | mécanicien (tous genres) | mécanicien (tous genres) : peau claire | mécanicienne | peau claire | plombier | électricien | électricienne
🧑🏼‍🔧	mechanic: medium-light skin tone	electrician | mechanic | mechanic (skin tone) | mechanic: medium-light skin tone | medium-light skin tone | plumber | tradesperson	mekaniker: hudtype 3	elektriker | handverker | hudtype 3 | håndverker | mekaniker | mekaniker: hudtype 3 | rørlegger	de	Mechaniker(in): mittelhelle Hautfarbe	Elektriker(in) | Klempner(in) | Mechaniker(in) | Mechaniker(in): mittelhelle Hautfarbe | mittelhelle Hautfarbe	it	meccanico: carnagione abbastanza chiara	carnagione abbastanza chiara | elettricista | idraulico | meccanico | meccanico: carnagione abbastanza chiara | tecnico specializzato	fr	mécanicien (tous genres) : peau moyennement claire	artisan | mécanicien | mécanicien (tous genres) | mécanicien (tous genres) : peau moyennement claire | mécanicienne | peau moyennement claire | plombier | électricien | électricienne
🧑🏽‍🔧	mechanic: medium skin tone	electrician | mechanic | mechanic (skin tone) | mechanic: medium skin tone | medium skin tone | plumber | tradesperson	mekaniker: hudtype 4	elektriker | handverker | hudtype 4 | håndverker | mekaniker | mekaniker: hudtype 4 | rørlegger	de	Mechaniker(in): mittlere Hautfarbe	Elektriker(in) | Klempner(in) | Mechaniker(in) | Mechaniker(in): mittlere Hautfarbe | mittlere Hautfarbe	it	meccanico: carnagione olivastra	carnagione olivastra | elettricista | idraulico | meccanico | meccanico: carnagione olivastra | tecnico specializzato	fr	mécanicien (tous genres) : peau légèrement mate	artisan | mécanicien | mécanicien (tous genres) | mécanicien (tous genres) : peau légèrement mate | mécanicienne | peau légèrement mate | plombier | électricien | électricienne
🧑🏾‍🔧	mechanic: medium-dark skin tone	electrician | mechanic | mechanic (skin tone) | mechanic: medium-dark skin tone | medium-dark skin tone | plumber | tradesperson	mekaniker: hudtype 5	elektriker | handverker | hudtype 5 | håndverker | mekaniker | mekaniker: hudtype 5 | rørlegger	de	Mechaniker(in): mitteldunkle Hautfarbe	Elektriker(in) | Klempner(in) | Mechaniker(in) | Mechaniker(in): mitteldunkle Hautfarbe | mitteldunkle Hautfarbe	it	meccanico: carnagione abbastanza scura	carnagione abbastanza scura | elettricista | idraulico | meccanico | meccanico: carnagione abbastanza scura | tecnico specializzato	fr	mécanicien (tous genres) : peau mate	artisan | mécanicien | mécanicien (tous genres) | mécanicien (tous genres) : peau mate | mécanicienne | peau mate | plombier | électricien | électricienne
🧑🏿‍🔧	mechanic: dark skin tone	dark skin tone | electrician | mechanic | mechanic (skin tone) | mechanic: dark skin tone | plumber | tradesperson	mekaniker: hudtype 6	elektriker | handverker | hudtype 6 | håndverker | mekaniker | mekaniker: hudtype 6 | rørlegger	de	Mechaniker(in): dunkle Hautfarbe	dunkle Hautfarbe | Elektriker(in) | Klempner(in) | Mechaniker(in) | Mechaniker(in): dunkle Hautfarbe	it	meccanico: carnagione scura	carnagione scura | elettricista | idraulico | meccanico | meccanico: carnagione scura | tecnico specializzato	fr	mécanicien (tous genres) : peau foncée	artisan | mécanicien | mécanicien (tous genres) | mécanicien (tous genres) : peau foncée | mécanicienne | peau foncée | plombier | électricien | électricienne
🧑‍🔬	scientist	biologist | chemist | engineer | mathematician | physicist | scientist	forsker	biologi | forsker | forskning | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in)	Forscher(in) | Labor | Wissenschaftler(in)	it	persona che lavora in campo scientifico	biologo | chimico | fisico | ingegnere | persona che lavora in campo scientifico | scienziato	fr	scientifique	chimiste | scientifique
🧑🏻‍🔬	scientist: light skin tone	biologist | chemist | engineer | light skin tone | mathematician | physicist | scientist | scientist (skin tone) | scientist: light skin tone	forsker: hudtype 1–2	biologi | forsker | forsker: hudtype 1–2 | forskning | hudtype 1–2 | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in): helle Hautfarbe	Forscher(in) | helle Hautfarbe | Labor | Wissenschaftler(in) | Wissenschaftler(in): helle Hautfarbe	it	persona che lavora in campo scientifico: carnagione chiara	biologo | carnagione chiara | chimico | fisico | ingegnere | persona che lavora in campo scientifico | persona che lavora in campo scientifico: carnagione chiara | scienziato	fr	scientifique : peau claire	chimiste | peau claire | scientifique | scientifique : peau claire
🧑🏼‍🔬	scientist: medium-light skin tone	biologist | chemist | engineer | mathematician | medium-light skin tone | physicist | scientist | scientist (skin tone) | scientist: medium-light skin tone	forsker: hudtype 3	biologi | forsker | forsker: hudtype 3 | forskning | hudtype 3 | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in): mittelhelle Hautfarbe	Forscher(in) | Labor | mittelhelle Hautfarbe | Wissenschaftler(in) | Wissenschaftler(in): mittelhelle Hautfarbe	it	persona che lavora in campo scientifico: carnagione abbastanza chiara	biologo | carnagione abbastanza chiara | chimico | fisico | ingegnere | persona che lavora in campo scientifico | persona che lavora in campo scientifico: carnagione abbastanza chiara | scienziato	fr	scientifique : peau moyennement claire	chimiste | peau moyennement claire | scientifique | scientifique : peau moyennement claire
🧑🏽‍🔬	scientist: medium skin tone	biologist | chemist | engineer | mathematician | medium skin tone | physicist | scientist | scientist (skin tone) | scientist: medium skin tone	forsker: hudtype 4	biologi | forsker | forsker: hudtype 4 | forskning | hudtype 4 | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in): mittlere Hautfarbe	Forscher(in) | Labor | mittlere Hautfarbe | Wissenschaftler(in) | Wissenschaftler(in): mittlere Hautfarbe	it	persona che lavora in campo scientifico: carnagione olivastra	biologo | carnagione olivastra | chimico | fisico | ingegnere | persona che lavora in campo scientifico | persona che lavora in campo scientifico: carnagione olivastra | scienziato	fr	scientifique : peau légèrement mate	chimiste | peau légèrement mate | scientifique | scientifique : peau légèrement mate
🧑🏾‍🔬	scientist: medium-dark skin tone	biologist | chemist | engineer | mathematician | medium-dark skin tone | physicist | scientist | scientist (skin tone) | scientist: medium-dark skin tone	forsker: hudtype 5	biologi | forsker | forsker: hudtype 5 | forskning | hudtype 5 | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in): mitteldunkle Hautfarbe	Forscher(in) | Labor | mitteldunkle Hautfarbe | Wissenschaftler(in) | Wissenschaftler(in): mitteldunkle Hautfarbe	it	persona che lavora in campo scientifico: carnagione abbastanza scura	biologo | carnagione abbastanza scura | chimico | fisico | ingegnere | persona che lavora in campo scientifico | persona che lavora in campo scientifico: carnagione abbastanza scura | scienziato	fr	scientifique : peau mate	chimiste | peau mate | scientifique | scientifique : peau mate
🧑🏿‍🔬	scientist: dark skin tone	biologist | chemist | dark skin tone | engineer | mathematician | physicist | scientist | scientist (skin tone) | scientist: dark skin tone	forsker: hudtype 6	biologi | forsker | forsker: hudtype 6 | forskning | hudtype 6 | kjemi | lab | laboratorium | medisin | vitenskap	de	Wissenschaftler(in): dunkle Hautfarbe	dunkle Hautfarbe | Forscher(in) | Labor | Wissenschaftler(in) | Wissenschaftler(in): dunkle Hautfarbe	it	persona che lavora in campo scientifico: carnagione scura	biologo | carnagione scura | chimico | fisico | ingegnere | persona che lavora in campo scientifico | persona che lavora in campo scientifico: carnagione scura | scienziato	fr	scientifique : peau foncée	chimiste | peau foncée | scientifique | scientifique : peau foncée
